host,ip,port,protocol,title,domain,country,city,link,org
141.148.158.226:2053,141.148.158.226,2053,http,,,US,Phoenix,http://141.148.158.226:2053,Oracle Corporation
192.9.236.203:443,192.9.236.203,443,http,,,US,San Jose,http://192.9.236.203:443,Oracle Corporation
129.153.220.206:443,129.153.220.206,443,http,,,US,Phoenix,http://129.153.220.206:443,Oracle Corporation
https://192.18.137.175,192.18.137.175,443,https,Discord - Group Chat That’s All Fun &amp; Games,,US,San Jose,https://192.18.137.175,Oracle Corporation
https://150.136.254.189,150.136.254.189,443,https,403 Forbidden,,US,Ashburn,https://150.136.254.189,Oracle Corporation
129.213.55.160,129.213.55.160,80,http,StockGate - AI-Powered Investment Partner,,US,Ashburn,http://129.213.55.160,Oracle Corporation
129.146.143.204:443,129.146.143.204,443,http,,,US,Phoenix,http://129.146.143.204:443,Oracle Corporation
https://141.148.150.233,141.148.150.233,443,https,403 Forbidden,,US,Phoenix,https://141.148.150.233,Oracle Corporation
136.248.68.146,136.248.68.146,80,http,Estuda.com | A plataforma de Enem mais completa do Brasil,,US,Wayland,http://136.248.68.146,Oracle Corporation
https://137.131.5.203,137.131.5.203,443,https,403 Forbidden,,US,La Jolla,https://137.131.5.203,Oracle Corporation
https://192.18.131.88,192.18.131.88,443,https,403 Forbidden,,US,San Jose,https://192.18.131.88,Oracle Corporation
129.146.165.161:443,129.146.165.161,443,http,,,US,Phoenix,http://129.146.165.161:443,Oracle Corporation
https://152.67.232.72,152.67.232.72,443,https,403 Forbidden,,US,San Jose,https://152.67.232.72,Oracle Corporation
40.233.71.238:443,40.233.71.238,443,http,,,US,Belmont,http://40.233.71.238:443,Oracle Corporation
https://129.213.36.42,129.213.36.42,443,https,403 Forbidden,,US,Ashburn,https://129.213.36.42,Oracle Corporation
129.146.246.3,129.146.246.3,80,http,,,US,Phoenix,http://129.146.246.3,Oracle Corporation
129.159.47.168:2053,129.159.47.168,2053,http,,,US,San Jose,http://129.159.47.168:2053,Oracle Corporation
146.235.199.164:443,146.235.199.164,443,http,,,US,San Jose,http://146.235.199.164:443,Oracle Corporation
163.192.47.170:443,163.192.47.170,443,http,,,US,Belmont,http://163.192.47.170:443,Oracle Corporation
https://151.145.74.165,151.145.74.165,443,https,403 Forbidden,,US,Belmont,https://151.145.74.165,Oracle Corporation
https://140.245.252.127,140.245.252.127,443,https,403 Forbidden,,US,Belmont,https://140.245.252.127,Oracle Corporation
https://161.33.187.132,161.33.187.132,443,https,403 Forbidden,,US,Mobile,https://161.33.187.132,Oracle Corporation
https://129.159.37.136,129.159.37.136,443,https,403 Forbidden,,US,San Jose,https://129.159.37.136,Oracle Corporation
https://140.245.112.31,140.245.112.31,443,https,403 Forbidden,,US,Belmont,https://140.245.112.31,Oracle Corporation
