ip,port,org,city,country,source_file,sample_host,score
150.230.5.126,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.5.126:443,6
151.145.71.117,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,151.145.71.117:443,6
140.83.34.97,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.34.97,9
131.186.45.179,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://131.186.45.179,9
140.83.50.165,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.83.50.165,9
132.145.122.39,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.122.39,9
168.138.43.166,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.43.166,9
138.2.41.12,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.41.12,9
141.147.185.245,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.185.245,9
138.2.36.109,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.36.109,9
141.147.185.15,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.185.15,9
155.248.181.189,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,155.248.181.189:443,6
158.101.159.228,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://158.101.159.228,8
141.147.164.171,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.164.171:443,6
138.2.54.176,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.54.176,9
141.147.169.245,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://141.147.169.245,9
140.238.39.149,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://140.238.39.149,9
168.138.209.171,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.209.171,9
168.138.209.146,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.209.146,9
132.145.127.203,2053,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.203:2053,7
152.69.199.208,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.199.208,9
152.69.203.97,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.203.97,9
138.2.5.136,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,138.2.5.136:443,6
168.138.46.67,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://168.138.46.67,9
132.145.127.84,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,https://132.145.127.84,9
138.2.45.20,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://138.2.45.20,8
168.138.212.80,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,168.138.212.80:443,6
150.230.62.103,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,150.230.62.103:443,6
152.69.197.207,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,152.69.197.207:443,6
141.147.178.21,443,Oracle Corporation,Tokyo,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.178.21:443,6
152.69.203.201,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://152.69.203.201,9
141.147.144.109,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,141.147.144.109:443,6
64.110.108.247,443,Oracle Corporation,Osaka,JP,2026-03-15-oracle-jp-batch-01.csv,https://64.110.108.247,9
