ip,port,org,city,country,source_file,sample_host
103.27.132.118,,SHOCK-1 - Shock Hosting LLC,Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,103.27.132.118
116.80.91.168,,"INFOSPHERE NTT PC Communications, Inc.",Tokyo,Japan,2026-03-15-japan-mixed-batch-01.json,116-80-91-168.indigo.static.arena.ne.jp
129.121.34.61,443,Oracle Corporation,Burlington,US,2026-03-15-oracle-us-batch-01.csv,https://129.121.34.61
129.121.73.82,80,Oracle Corporation,Burlington,US,2026-03-15-oracle-us-batch-01.csv,clx.itvtrainingcenter.com
129.146.104.110,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.104.110
129.146.120.12,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.120.12:8443
129.146.121.203,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.121.203:8443
129.146.125.108,8443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.125.108:8443
129.146.127.77,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.127.77:443
129.146.129.30,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.129.30
129.146.132.240,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.132.240
129.146.135.44,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.135.44
129.146.136.106,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.136.106
129.146.137.136,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.137.136
129.146.137.214,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,https://129.146.137.214
129.146.138.164,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.138.164:443
129.146.143.204,443,Oracle Corporation,Phoenix,US,2026-03-15-oracle-us-batch-01.csv,129.146.143.204:443
