ip,port,org,city,country,ping_ok,ping_avg_ms,ping_loss_pct,tcp_error
129.146.135.44,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.228.56,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.241.23,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.241.234,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.191.182,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.248.65,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.51.158,8443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.36.33,8443,ORACLE-BMC-31898,Phoenix,US,false,,100,all_tcp_ports_failed
129.146.59.19,8443,ORACLE-BMC-31898,Phoenix,US,false,,100,all_tcp_ports_failed
129.150.41.94,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.146.91.19,8443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.150.33.222,8443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.150.41.236,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.150.43.139,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.153.42.27,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.150.61.161,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.150.62.95,443,Oracle Corporation,Singapore,SG,false,,100,all_tcp_ports_failed
129.151.21.236,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.153.206.105,8880,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.153.74.179,443,Oracle Corporation,Phoenix,US,false,,100,all_tcp_ports_failed
129.158.198.180,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.158.203.186,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.158.205.155,444,ORACLE-BMC-31898,Ashburn,US,false,,100,all_tcp_ports_failed
129.158.244.114,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.158.54.181,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.213.126.251,587,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.213.76.141,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.1.113,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.135.219,443,ORACLE-BMC-31898,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.151.218,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.228.226,443,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
131.186.34.205,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
129.80.242.71,2083,Oracle Corporation,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.249.155,587,ORACLE-BMC-31898,Ashburn,US,false,,100,all_tcp_ports_failed
129.80.37.170,444,ORACLE-BMC-31898,Ashburn,US,false,,100,all_tcp_ports_failed
130.110.0.203,443,Oracle Corporation,Windsor,US,false,,100,all_tcp_ports_failed
130.110.12.69,443,Oracle Corporation,Windsor,US,false,,100,all_tcp_ports_failed
130.110.250.30,2087,Oracle Corporation,Windsor,US,false,,100,all_tcp_ports_failed
130.110.8.240,443,Oracle Corporation,Windsor,US,false,,100,all_tcp_ports_failed
131.186.33.68,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.34.48,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.37.129,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
13.230.69.144,,"AMAZON-02 - Amazon.com, Inc.",Tokyo,Japan,false,,100,all_tcp_ports_failed
131.186.38.156,8443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.39.42,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.39.88,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.44.195,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.44.45,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
131.186.60.231,443,Oracle Corporation,Tokyo,JP,false,,100,all_tcp_ports_failed
