host,port,latency_ms,loss_pct,jitter_ms,ping_avg_ms,ping_min_ms,ping_max_ms,ping_loss_pct,ping_ok,tcp_avg_ms,tcp_min_ms,tcp_max_ms,tcp_jitter_ms,tcp_loss_pct,tcp_ok,score,org,city,country,checked_at
129.146.173.121,8443,4,0,2,,,,100,false,4,3,5,2,0,true,99.2,Oracle Corporation,Phoenix,US,2026-07-18T11:47:01.049Z
129.80.239.6,8443,50,0,0,,,,100,false,50,50,50,0,0,true,90,Oracle Corporation,Ashburn,US,2026-07-18T11:51:20.598Z
132.226.53.176,8880,56,0,0,,,,100,false,56,56,56,0,0,true,88.8,Oracle Corporation,Ashburn,US,2026-07-18T11:53:30.913Z
132.145.127.93,443,108.5,0,1,,,,100,false,108.5,108,109,1,0,true,78.3,Oracle Corporation,Tokyo,JP,2026-07-18T11:52:48.587Z
13.230.34.30,443,109.5,0,1,,,,100,false,109.5,109,110,1,0,true,78.1,"AMAZON-02 - Amazon.com, Inc.",Tokyo,Japan,2026-07-18T11:52:03.258Z
116.80.91.168,443,112,0,6,,,,100,false,112,109,115,6,0,true,77.6,"INFOSPHERE NTT PC Communications, Inc.",Tokyo,Japan,2026-07-18T11:47:01.376Z
103.27.132.118,443,112.5,0,1,,,,100,false,112.5,112,113,1,0,true,77.5,SHOCK-1 - Shock Hosting LLC,Tokyo,Japan,2026-07-18T11:47:02.768Z
138.2.41.12,443,115,0,2,,,,100,false,115,114,116,2,0,true,77,Oracle Corporation,Osaka,JP,2026-07-18T11:57:06.263Z
136.248.68.146,80,162,0,2,,,,100,false,162,161,163,2,0,true,67.6,Oracle Corporation,Wayland,US,2026-07-18T11:54:55.989Z
134.185.111.151,3000,167.5,0,55,,,,100,false,167.5,140,195,55,0,true,66.5,Oracle Corporation,Belmont,US,2026-07-18T11:54:13.568Z
129.150.52.71,443,184,0,2,,,,100,false,184,183,185,2,0,true,63.2,Oracle Corporation,Singapore,SG,2026-07-18T11:49:10.497Z
129.146.2.46,443,2,50,0,,,,100,false,2,2,2,0,50,true,59.6,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.3.163,443,2,50,0,,,,100,false,2,2,2,0,50,true,59.6,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.701Z
137.131.19.31,443,2,50,0,,,,100,false,2,2,2,0,50,true,59.6,Oracle Corporation,La Jolla,US,2026-07-18T11:55:38.100Z
129.146.136.106,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:01.048Z
129.146.137.136,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:01.049Z
129.146.143.39,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:01.049Z
129.146.165.161,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:01.049Z
129.146.174.117,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.185.214,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.188.242,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.188.78,444,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.196.8,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.199.96,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.20.44,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.734Z
129.146.213.162,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.733Z
129.146.24.202,8443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:47:43.734Z
129.146.252.85,8443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.701Z
129.146.36.178,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.701Z
129.146.44.48,8443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.701Z
129.146.47.116,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.702Z
129.146.47.160,8443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.702Z
129.146.47.193,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.702Z
129.146.48.121,2052,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.702Z
129.146.49.224,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:48:27.702Z
129.146.76.113,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:49:10.133Z
129.146.84.32,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:49:10.133Z
129.146.9.224,443,3,50,0,,,,100,false,3,3,3,0,50,true,59.4,Oracle Corporation,Phoenix,US,2026-07-18T11:49:10.133Z
